날짜,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개월),nino3.4 수온 평년평균,nino3.4 수온 표준편차
﻿1994년 08월,0.433048,0.23006,27.268375,27.154799,26.835327,0.818931
﻿1994년 07월,-0.017406,0.185148,27.226212,27.433084,27.243618,0.677102
﻿1994년 06월,0.139802,0.08139,27.804667,27.664686,27.664865,0.627709
﻿1994년 05월,0.121775,0.112295,27.963182,27.871466,27.841408,0.614643
﻿1994년 04월,0.075309,0.112336,27.846546,27.709982,27.771236,0.657626
﻿1994년 03월,0.139923,0.042979,27.320217,27.249434,27.180296,0.817327
﻿1994년 02월,-0.086296,0.021488,26.581533,26.802399,26.667831,1.007264
﻿1994년 01월,0.010838,0.002045,26.505445,26.581804,26.494608,1.164648
﻿1993년 12월,0.081594,0.051799,26.658434,26.661045,26.576839,1.219633
﻿1993년 11월,0.062964,0.109528,26.819256,26.786888,26.75629,1.177667
﻿1993년 10월,0.184027,0.157775,26.882977,26.874611,26.69895,1.01164
﻿1993년 09월,0.226334,0.11736,26.921602,26.86054,26.695267,0.834961
﻿1993년 08월,-0.058282,0.127244,26.777046,27.051983,26.835327,0.818931
﻿1993년 07월,0.21368,0.104191,27.457298,27.352127,27.243618,0.677102
﻿1993년 06월,0.157176,0.348326,27.822041,27.931623,27.664865,0.627709
﻿1993년 05월,0.674122,0.389609,28.51553,28.148779,27.841408,0.614643
﻿1993년 04월,0.337529,0.413346,28.108767,28.010992,27.771236,0.657626
﻿1993년 03월,0.228387,0.298756,27.408682,27.505211,27.180296,0.817327
﻿1993년 02월,0.330351,0.237129,26.998182,27.018042,26.667831,1.007264
﻿1993년 01월,0.15265,0.2103,26.647259,26.790058,26.494608,1.164648
﻿1992년 12월,0.147898,0.03693,26.724737,26.646175,26.576839,1.219633
﻿1992년 11월,-0.189757,-0.18991,26.566534,26.48745,26.75629,1.177667
﻿1992년 10월,-0.52787,-0.296394,26.17108,26.420443,26.69895,1.01164
﻿1992년 09월,-0.171554,-0.264197,26.523712,26.478985,26.695267,0.834961
﻿1992년 08월,-0.093166,-0.040683,26.742163,26.884054,26.835327,0.818931
﻿1992년 07월,0.142671,0.150998,27.38629,27.398935,27.243618,0.677102
﻿1992년 06월,0.40349,0.494164,28.068354,28.077461,27.664865,0.627709
﻿1992년 05월,0.93633,0.793519,28.777739,28.552689,27.841408,0.614643
﻿1992년 04월,1.040736,1.063811,28.811974,28.661457,27.771236,0.657626
﻿1992년 03월,1.214367,1.292591,28.394663,28.499044,27.180296,0.817327
﻿1992년 02월,1.62267,1.527103,28.290501,28.308014,26.667831,1.007264
﻿1992년 01월,1.744271,1.640689,28.238878,28.220448,26.494608,1.164648
﻿1991년 12월,1.555125,1.403674,28.131964,28.01292,26.576839,1.219633
